^FINANCIAL,2014-10-30,1655.19,1664.84,1649.75,1655.92,931880,39862
AUB,2014-10-30,73.85,73.85,72.9,72.95,105640,2181087
BDO,2014-10-30,96.5,96.5,95.45,96.1,3747790,-11550573
BPI,2014-10-30,96.8,96.8,95.1,96,497450,843400
CHIB,2014-10-30,49.4,49.4,49,49.1,84100,49100
EW,2014-10-30,25.8,25.9,25.8,25.9,55900,7705
MBT,2014-10-30,82.1,83.2,81.9,82.15,3513860,37005166
PBB,2014-10-30,19.92,19.98,19.7,19.92,65800,0
PBC,2014-10-30,38,38,37.7,38,30000,0
PNB,2014-10-30,83.2,84.5,83.1,84.5,5050,44928
PSB,2014-10-30,116,116,112,114.9,7950,0
RCB,2014-10-30,53,53,52,52,221310,8317200
SECB,2014-10-30,145.8,145.8,143,143.4,941850,3520405
UBP,2014-10-30,118.4,118.4,117.6,117.8,10100,-513839
AGF,2014-10-30,4.03,4.03,4,4,76000,0
BKR,2014-10-30,3.3,3.3,3.28,3.28,428000,793760
COL,2014-10-30,14.3,14.5,14.3,14.5,15800,0
FAF,2014-10-30,0.83,0.83,0.83,0.83,79000,65570
FFI,2014-10-30,6.83,6.83,6.83,6.83,300,0
I,2014-10-30,1.89,1.92,1.89,1.92,5000,0
MED,2014-10-30,0.6,0.85,0.6,0.8,56529000,-901640
NRCP,2014-10-30,1.18,1.18,1.18,1.18,10000,0
PSE,2014-10-30,289,289,287,287.8,1000,0
V,2014-10-30,2.84,2.84,2.83,2.83,125000,0
^INDUSTRIAL,2014-10-30,11434.35,11478.68,11403.9,11467.48,1220829,25422
ACR,2014-10-30,1.92,1.92,1.89,1.9,2672000,95000
AP,2014-10-30,40.3,40.6,39.95,40.6,2008500,28526030
EDC,2014-10-30,7.61,7.61,7.55,7.57,19329000,-60277152
FGEN,2014-10-30,25.95,25.95,25.5,25.7,2610300,24442995
FPH,2014-10-30,86.65,86.65,86.5,86.6,1740950,-41216063
MER,2014-10-30,265,265,261.2,262,131050,1688472
MWC,2014-10-30,28,28.5,28,28.5,1455000,2815910
PCOR,2014-10-30,11.8,11.8,11.52,11.74,5271800,11033456
PNX,2014-10-30,4.15,4.24,4.15,4.18,497000,-1566790
TA,2014-10-30,2.4,2.4,2.35,2.38,7834000,879840
VVT,2014-10-30,18.1,18.1,18,18,3600,0
ANI,2014-10-30,2.69,2.7,2.41,2.43,71000,0
CAT,2014-10-30,110,110,110,110,40,0
CNPF,2014-10-30,16.02,16.02,16,16,560900,8803050
DMPL,2014-10-30,17.02,17.02,17,17.02,154400,1040402
DNL,2014-10-30,13.8,13.8,13.62,13.72,1774700,-3376042
EMP,2014-10-30,10.58,10.6,10.56,10.58,6748500,-14790324
FOOD,2014-10-30,1.23,1.24,1.23,1.23,173000,0
JFC,2014-10-30,192,194,190.5,194,471830,54203369
