^FINANCIAL,2013-01-02,1526.8,1532.03,1525.5,1529.44,760899,114789
BDO,2013-01-02,72.75,73.2,72.6,73,3592580,85070861
BPI,2013-01-02,95,95.5,94.5,95,585030,2832303
CHIB,2013-01-02,54.6,54.7,54.4,54.5,69710,209867
CSB,2013-01-02,27.5,27.5,27.5,27.5,500,0
EW,2013-01-02,29.1,29.25,29.1,29.25,183800,189665
MBT,2013-01-02,102,102.5,101.7,101.8,1922090,-9542056
PBC,2013-01-02,78.5,79.8,78.5,79.8,1450,0
PNB,2013-01-02,90.95,92,90,91.9,454170,12288280
PSB,2013-01-02,96,101,96,101,20,0
RCB,2013-01-02,60,60,58.8,59,172860,152803
SECB,2013-01-02,157,160,157,159.9,320840,23234776
UBP,2013-01-02,113,113.8,112.8,112.8,372340,86856
BKD,2013-01-02,0.7,0.71,0.7,0.71,8000,0
BLFI,2013-01-02,1.99,2.05,1.99,2.05,18000,0
COL,2013-01-02,19.46,19.46,19,19,27400,0
FFI,2013-01-02,10.26,10.26,10.26,10.26,1000,0
I,2013-01-02,2.77,2.79,2.77,2.79,34000,0
MFC,2013-01-02,510,520,510,515,1650,0
MAKE,2013-01-02,24.7,24.7,24.6,24.7,11900,0
PSE,2013-01-02,416,418,415,415,12080,265806
SLF,2013-01-02,995.5,1010,995,1010,740,0
V,2013-01-02,2.42,2.42,2.42,2.42,2000,0
^INDUSTRIAL,2013-01-02,8872.7,8968.29,8872.7,8964.1,875517,-29907
AP,2013-01-02,36.95,37.35,36.85,37.25,1247800,-4899275
ACR,2013-01-02,1.29,1.29,1.28,1.29,432000,0
H2O,2013-01-02,4.1,4.1,4.07,4.1,45000,0
EDC,2013-01-02,6.75,6.85,6.73,6.83,6798000,-10774194
FGEN,2013-01-02,22.15,22.8,22.15,22.7,719300,9228990
FPH,2013-01-02,89.95,91.9,89.95,90.6,433230,2602440
MWC,2013-01-02,32.3,32.35,31.95,32,2130800,-25606035
MER,2013-01-02,260.6,263.8,260.6,263,300690,-28767812
PCOR,2013-01-02,10.44,10.44,10.36,10.4,1764200,-12987480
PNX,2013-01-02,8.91,9.15,8.91,9.05,148500,900000
SPC,2013-01-02,4.5,4.6,4.5,4.6,25000,0
TA,2013-01-02,1.17,1.38,1.17,1.33,85805000,369250
VVT,2013-01-02,9,9,8.35,8.35,5200,0
ANI,2013-01-02,7.83,8.55,7.83,8.55,67600,7860
FOOD,2013-01-02,1.98,2.04,1.98,2.04,712000,138710
DNL,2013-01-02,4.37,4.4,4.37,4.37,3389000,-10052320
GSMI,2013-01-02,17,17,17,17,500,0
JFC,2013-01-02,102,104.5,102,104.2,125900,2554589
LTG,2013-01-02,13.4,13.56,13.24,13.42,2285600,40300
PCKH,2013-01-02,7.66,7.66,7.66,7.66,400,0
PIP,2013-01-02,6.5,6.8,6.35,6.6,3928400,-3509448
PF,2013-01-02,244.2,244.6,244,244.2,55210,11109778
RFM,2013-01-02,5,5,4.82,4.88,826800,1616627
ROX,2013-01-02,2.96,3,2.96,2.96,60000,0
SMC,2013-01-02,104.5,105,103.2,105,101000,4943038
SFI,2013-01-02,0.141,0.142,0.141,0.142,880000,0
URC,2013-01-02,83.85,86.5,83.85,86,971750,25606292
VMC,2013-01-02,1.37,1.43,1.37,1.4,5087000,-56000
VITA,2013-01-02,0.98,0.98,0.95,0.97,281000,950
