^FINANCIAL,2013-01-07,1554.4,1576.95,1554.4,1576.95,1880793,581386
BDO,2013-01-07,74.6,75.05,74.6,75.05,8234640,266121608
BPI,2013-01-07,98,102,97.9,102,2710500,219681049
CHIB,2013-01-07,54.9,55.2,54.9,55.05,91510,763151
EW,2013-01-07,31.9,32.7,31.9,32.35,1334200,1354685
MBT,2013-01-07,101.9,104,101.9,103.4,5813300,72737100
PNB,2013-01-07,93.45,93.9,91.5,91.5,1124780,20092594
RCB,2013-01-07,59.7,59.8,58,58,698520,19977807
SECB,2013-01-07,160.9,161.1,160.4,160.7,874050,-16573249
UBP,2013-01-07,113.1,113.2,112.8,113,68900,-2112866
BKD,2013-01-07,0.7,0.7,0.7,0.7,200000,0
BLFI,2013-01-07,1.93,2.05,1.93,2.04,231000,0
COL,2013-01-07,19,19.4,19,19,12600,0
FFI,2013-01-07,10.98,10.98,10.9,10.94,1000,0
I,2013-01-07,2.7,2.7,2.7,2.7,113000,-18900
MFC,2013-01-07,525,530,525,530,2480,0
MAKE,2013-01-07,26,26,24,24,1000,0
NRCP,2013-01-07,1.74,1.74,1.74,1.74,156000,0
PSE,2013-01-07,422,425,416,418,22290,-636790
SLF,2013-01-07,1020,1030,1020,1020,1335,0
V,2013-01-07,2.43,2.45,2.43,2.45,72000,0
^INDUSTRIAL,2013-01-07,9058.41,9124.57,9058.41,9103.98,1180878,109384
AP,2013-01-07,37.9,38.05,37.9,38,2416500,42932935
ACR,2013-01-07,1.32,1.32,1.31,1.32,1045000,0
H2O,2013-01-07,4.3,4.4,4.18,4.18,43000,0
EDC,2013-01-07,6.87,6.96,6.87,6.92,19008200,6542355
FGEN,2013-01-07,23.05,23.3,23,23.2,2484800,17678870
FPH,2013-01-07,90.2,93,90.2,90.7,1152070,-23132982
MWC,2013-01-07,32.3,32.4,32.2,32.4,1836000,9319070
MER,2013-01-07,270,272.8,270,272.4,427850,27268480
PCOR,2013-01-07,10.38,10.42,10.36,10.4,5662200,-15488520
PNX,2013-01-07,9.05,9.05,8.96,8.96,207000,0
SPC,2013-01-07,4.54,4.55,4.53,4.55,27000,-13650
TA,2013-01-07,1.31,1.35,1.3,1.32,21565000,3532400
VVT,2013-01-07,8.8,8.8,8.2,8.4,4100,0
ANI,2013-01-07,8.38,8.38,8,8.01,55900,79200
FOOD,2013-01-07,2.01,2.02,1.99,1.99,1607000,-1019980
DNL,2013-01-07,4.38,4.45,4.38,4.42,13950000,-7212170
GSMI,2013-01-07,16.54,16.54,16.54,16.54,2000,0
JFC,2013-01-07,107.5,107.5,106.7,107,719780,7100837
LFM,2013-01-07,48,49,48,49,2600,0
LTG,2013-01-07,13.38,13.38,13.3,13.3,277000,0
PCKH,2013-01-07,7.7,7.7,7.6,7.6,18000,0
PIP,2013-01-07,6.7,6.75,6.63,6.64,768300,-66900
PF,2013-01-07,242.2,242.2,240.2,242.2,2270,268830
RFM,2013-01-07,4.93,5.05,4.9,5.02,2078000,4802010
ROX,2013-01-07,2.95,3,2.92,3,34000,12000
SMC,2013-01-07,105.4,109.2,105.4,108.7,1396210,47893246
SFI,2013-01-07,0.15,0.152,0.14,0.145,6120000,-1510
URC,2013-01-07,87.5,87.55,86.4,86.4,968010,-6661183
VMC,2013-01-07,1.51,1.54,1.44,1.46,8419000,-314150
VITA,2013-01-07,1.04,1.04,0.98,1.02,830000,-106100
ABG,2013-01-07,19.4,19.4,19,19.36,3700,0
EEI,2013-01-07,10.26,10.4,10.26,10.3,962600,-1009828
FED,2013-01-07,12.38,12.38,10.9,11,5600,2200
HLCM,2013-01-07,12.9,13.1,12.8,13.1,262600,-395770
LRI,2013-01-07,11,11.4,11,11.4,1550000,-62700
MMI,2013-01-07,7.4,7.4,6.32,6.32,1060600,1115
MWIDE,2013-01-07,18.72,18.72,18.68,18.68,14300,119728
PHN,2013-01-07,11,11,11,11,4500,0
T,2013-01-07,1.69,1.69,1.66,1.69,147000,0
VUL,2013-01-07,1.48,1.53,1.48,1.52,1294000,-76000
COAT,2013-01-07,2.9,2.95,2.89,2.95,52000,72700
EURO,2013-01-07,2.31,2.32,2.22,2.22,286000,27220
LMG,2013-01-07,2.8,2.8,2.03,2.07,7651000,43700
MIH,2013-01-07,16.9,17.6,14.8,15.88,190800,0
MIHB,2013-01-07,17,17.9,15,15.2,91100,-5100
CHIPS,2013-01-07,27,27.7,25.15,27.45,103500,-43935
GREEN,2013-01-07,0.021,0.022,0.021,0.021,358600000,-2625000
IMI,2013-01-07,4,4,3.93,3.93,9000,-11980
ION,2013-01-07,0.64,0.66,0.64,0.65,365000,-65000
SPH,2013-01-07,1.75,1.75,1.75,1.75,35000,0
^HOLDING,2013-01-07,5321.22,5385.56,5321.22,5383.36,1757795,535566
ABA,2013-01-07,0.69,0.69,0.68,0.69,3601000,0
AEV,2013-01-07,54.4,54.4,53.75,54,3060450,111578600
